No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,CH Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS Report,APRS Report Channel
75,DB0FDA-TS1,438.42500,430.82500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
76,DB0FEU-TS1,439.57500,431.97500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
77,DB0FHA-TS1,439.01250,431.41250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
78,DB0FLW-TS1,439.53750,431.93750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
79,DB0FMS-TS1,439.33750,431.73750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
80,DB0FSG-TS1,439.93750,430.53750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
81,DB0FTC-TS1,438.25000,430.65000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
82,DB0FTN-TS1,439.88750,449.28750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
83,DB0FTS-TS1,438.53750,430.93750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
84,DB0FUE-TS1,439.85000,430.45000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
